1.51861 -0.56225 0.232053 -1.16959 1.91391 0.808997 1.03482 -0.659563 1.22488 0.251717 0.362177 1.84792 1.01301 1
0.24629 -0.499413 -0.827996 -2.49085 0.018145 0.568648 0.733629 -0.820719 -0.544721 -0.293321 0.406051 1.11345 0.965242 1
0.196879 0.0212312 1.10933 -0.268738 0.0883584 0.808997 1.21553 -0.498407 2.13597 0.26902 0.318304 0.788587 1.39515 1
1.69155 -0.346811 0.487926 -0.809251 0.930918 2.49145 1.46652 -0.981875 1.03215 1.18607 -0.427544 1.18407 2.33457 1
0.2957 0.227694 1.8404 0.451946 1.28199 0.808997 0.663351 0.226796 0.401404 -0.319276 0.362177 0.449601 -0.037874 1
1.48155 -0.517367 0.305159 -1.28971 0.860705 1.56209 1.36613 -0.176095 0.664217 0.73187 0.406051 0.336606 2.23904 1
1.71625 -0.418624 0.305159 -1.46988 -0.262708 0.328298 0.492677 -0.498407 0.681738 0.0830146 0.274431 1.36769 1.72952 1
1.30862 -0.167278 0.890014 -0.569023 1.49263 0.488531 0.482637 -0.417829 -0.597284 -0.00349944 0.449924 1.36769 1.74544 1
2.25977 -0.625086 -0.718336 -1.65005 -0.192495 0.808997 0.954502 -0.578985 0.681738 0.0613861 0.537671 0.336606 0.949319 1
1.06156 -0.885409 -0.352802 -1.04948 -0.122282 1.09742 1.12518 -1.14303 0.453967 0.935177 0.230557 1.32532 0.949319 1
1.35803 -0.158301 -0.243142 -0.448909 0.369212 1.04935 1.29585 -1.14303 1.38257 0.2993 1.28352 0.788587 2.43011 1
1.38273 -0.768712 -0.170035 -0.809251 -0.332922 -0.152402 0.40232 -0.820719 -0.0366166 -0.0251279 0.932531 0.294232 1.69768 1
0.925685 -0.544297 0.158946 -1.04948 -0.754202 0.488531 0.733629 -0.578985 0.383884 0.234414 0.844785 0.407228 1.82505 1
2.16095 -0.544297 0.0858389 -2.43079 -0.613775 1.2897 1.66732 0.549108 2.13597 0.1479 1.28352 0.167113 1.28369 1
1.7039 -0.418624 0.0492855 -2.25062 0.158572 1.61016 1.61712 -0.578985 2.39878 1.0563 1.06415 0.548472 2.54793 1
0.777454 -0.472483 1.21899 -0.689137 0.860705 0.889114 0.884224 -0.498407 -0.229346 0.969783 1.41514 0.378979 1.79321 1
1.60508 -0.373741 1.2921 0.151661 1.42241 0.808997 1.11514 -0.256673 0.664217 0.493956 0.493797 0.0541172 1.69768 1
